track_name,artist,genre,year,popularity,source,mood,mood_code,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,key,mode
Rumbapop,Pole.;Estopa,spanish,0,65.0,spotify_114k,happy,5,0.697,0.6419644112624796,0.8177010854439188,0.0617,0.05,0.0,0.948,0.5031705998056961,158857.0,9.0,0.0
No Type,Rae Sremmurd,pop,2015,74.0,musicon_v2,melancholic,0,0.9024390243902438,0.4770589047009055,0.9928341273886906,0.166267942583732,0.016226522250618575,0.0,0.2414141414141414,0.0023793862735423037,200080.0,-1.0,-1.0
Jump - 2015 Remaster,Van Halen,hard-rock,0,78.0,spotify_114k,euphoric,6,0.572,0.8349835973695786,0.817346861321256,0.0317,0.17168674698795183,0.000377,0.795,0.6220645031610281,241599.0,0.0,1.0
True - Single Edit,Spandau Ballet,dance rock,2008,72.0,musicon_v2,nostalgic,3,0.7350332594235033,0.5421721928315322,0.9917725166314596,0.0119617224880382,0.5172203967384692,0.0,0.3535353535353536,0.0016223088228697522,328000.0,-1.0,-1.0
Murder In My Mind,Kordhell,unknown,2022,71.0,spotify_2023,happy,5,0.71,0.9699970177035598,0.8082635427472611,0.11,0.010040160642570281,0.0,0.57,0.5742973232958923,0.0,-1.0,-1.0
Tootimetootimetootime,The 1975,pop,2018,70.0,musicon_v2,happy,5,0.6541019955654102,0.8209384576407772,0.9945150110876397,0.055023923444976,0.1795059023974687,0.0160599571734475,0.5232323232323233,0.002109001469730678,207851.0,-1.0,-1.0
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,pop,0,71.0,spotify_114k,happy,5,0.56,0.6039606336869886,0.7537636313032918,0.0866,0.31626506024096385,1.12e-06,0.75,0.4057602021526578,281573.0,8.0,1.0
Cold Little Heart - Radio Edit,Michael Kiwanuka,soul,0,70.0,spotify_114k,happy,5,0.629,0.5799582478498363,0.8176251802747767,0.0278,0.35843373493975905,0.000353,0.655,0.5277026671324856,210299.0,7.0,0.0
Badwine - Extended Remix,Feid,latin,2019,67.0,musicon_v2,euphoric,6,0.7638580931263858,0.7588773548912737,0.9946919462138449,0.2212918660287081,0.381323272889538,0.0,0.7393939393939395,0.004028733576793219,248160.0,-1.0,-1.0
Rondini Al Guinzaglio,Ultimo,r&b,2019,70.0,musicon_v2,energetic,7,0.4745011086474501,0.5716766515157223,0.9933649327673061,0.0143540669856459,0.584154801022271,0.0,0.4434343434343434,0.0028309288959077177,240739.0,-1.0,-1.0
Cold Cold Man,Saint Motel,rock,2014,65.0,musicon_v2,happy,5,0.5942350332594235,0.6551030519330876,0.995311219155563,0.0071770334928229,0.007099103484645583,0.0,0.5141414141414141,0.002000847548206028,230773.0,-1.0,-1.0
Shotgun,George Ezra,folk-pop,2018,82.0,musicon_v2,euphoric,6,0.6574279379157427,0.7354772669693298,0.995311219155563,0.0358851674641148,0.29410571579246275,0.0,0.7575757575757577,0.0021360399501118405,201000.0,-1.0,-1.0
Tumse Milke Dil Ka,Sonu Nigam;Sabri Brothers,pop,0,65.0,spotify_114k,euphoric,6,0.853,0.7449746504802578,0.7561925967158365,0.109,0.0644578313253012,1.87e-06,0.882,0.5167958038008911,359253.0,9.0,0.0
Say It Right,Nelly Furtado,latin,0,79.0,spotify_114k,euphoric,6,0.872,0.8719872755351883,0.8145889735090961,0.139,0.04779116465863455,0.00112,0.809,0.5596910280400668,223080.0,1.0,1.0
Ik Lamha,Azaan Sami Khan,pop,0,70.0,spotify_114k,energetic,7,0.581,0.5569559614225655,0.7834931558839158,0.0466,0.6736947791164659,0.0,0.333,0.6702384769634986,258857.0,5.0,0.0
Lï¿½ï¿½ï¿,Stromae,unknown,2022,71.0,spotify_2023,happy,5,0.56,0.5499552655533961,0.8082635427472611,0.11,0.3514056224899598,0.0,0.58,0.4211513704169877,0.0,-1.0,-1.0
Roots,Valerie Broussard,pop,2019,69.0,musicon_v2,happy,5,0.671840354767184,0.7812600476861766,0.9953996867186656,0.020334928229665,0.0649060890024745,0.0,0.586868686868687,0.0023253093127799784,184564.0,-1.0,-1.0
"Sajna, Say Yes To The Dress",Badshah;Payal Dev,hip-hop,0,65.0,spotify_114k,euphoric,6,0.633,0.7759777321865795,0.8775649621739241,0.173,0.2971887550200803,0.0,0.889,0.5151255557523056,158055.0,9.0,0.0
Blurred Lines,Robin Thicke;T.I.;Pharrell Williams,soul,0,76.0,spotify_114k,happy,5,0.853,0.5989601366375819,0.8543632821395137,0.0411,0.003353413654618474,7.93e-06,0.843,0.5742638226187,263826.0,7.0,1.0
CHEER UP,TWICE,k-pop,0,66.0,spotify_114k,happy,5,0.551,0.8849885678636458,0.937024011335172,0.124,0.13955823293172692,0.0,0.509,0.8277060172002048,208853.0,6.0,1.0
LOST IN PARADISE,ALI;AKLO,soul,0,69.0,spotify_114k,euphoric,6,0.648,0.9039904566513913,0.8591959112415556,0.0786,0.0964859437751004,2.07e-06,0.728,0.583840230484659,327966.0,6.0,0.0
Te Quiero Pa´Mi,Don Omar,latin,2016,65.0,musicon_v2,euphoric,6,0.7560975609756098,0.8087297161162847,0.9961958947865889,0.0466507177033492,0.12372723216096707,0.0,0.6676767676767676,0.0014060009798204521,211627.0,-1.0,-1.0
Te Boté - Remix,Nio Garcia,latin,2018,80.0,musicon_v2,energetic,7,0.9157427937915742,0.6693465837116622,0.9967267001652044,0.2320574162679425,0.5496734412397064,0.0,0.4464646464646465,0.001608789582679171,417920.0,-1.0,-1.0
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,unknown,2021,72.0,spotify_2023,happy,5,0.75,0.6099612301462766,0.8082635427472611,0.04,0.0,0.0,0.96,0.6365128666529473,0.0,-1.0,-1.0
Better Days,OneRepublic,piano,0,64.0,spotify_114k,energetic,7,0.626,0.7259727616925123,0.8478101358702528,0.0376,0.2359437751004016,0.0,0.257,0.42656890850007895,144530.0,5.0,1.0
Any Way You Want It,Journey,hard-rock,0,73.0,spotify_114k,happy,5,0.529,0.9319932401280688,0.7849100523745668,0.0488,0.002520080321285141,0.00109,0.571,0.6611980799326157,201693.0,7.0,1.0
Bota Pra Tremer,Pedro Sampaio,edm,2018,68.0,musicon_v2,calm,2,0.8813747228381374,0.388545528648335,0.9899146978063053,0.2691387559808612,0.3579976471542737,0.0,0.9242424242424244,0.003052644435033251,120400.0,-1.0,-1.0
Fly To My Room,BTS,k-pop,0,67.0,spotify_114k,happy,5,0.764,0.5259528797162439,0.7886041039394783,0.212,0.048594377510040164,0.0,0.588,0.5499375451660915,222242.0,11.0,1.0
Dura,Daddy Yankee,latin,2018,76.0,musicon_v2,euphoric,6,0.7827050997782704,0.8372167796734338,0.9967267001652044,0.0370813397129186,0.1764634294754776,0.0,0.8474747474747476,0.0015682318621074273,200480.0,-1.0,-1.0
Paniyon Sa,Rochak Kohli;Atif Aslam;Tulsi Kumar,pop,0,65.0,spotify_114k,happy,5,0.523,0.7679769369075288,0.8493788426991878,0.0566,0.4487951807228916,0.000226,0.669,0.35907940139075667,236239.0,0.0,0.0
Pepas,Farruko,latin,0,86.0,spotify_114k,energetic,7,0.762,0.765976738087766,0.8746299623004328,0.0343,0.007791164658634539,6.98e-05,0.442,0.6221602193815775,287120.0,7.0,1.0
Estamos Arriba,Bad Bunny,latin,2019,72.0,musicon_v2,happy,5,0.860310421286031,0.814834086878531,0.9965497650389992,0.0861244019138755,0.18863332116344167,0.0,0.5515151515151516,0.0030499405869951345,225694.0,-1.0,-1.0
In Da Getto,J Balvin;Skrillex,latin,0,75.0,spotify_114k,happy,5,0.915,0.7199721652332243,0.8956050907066772,0.0459,0.025100401606425706,1.42e-05,0.631,0.6077309991337682,131065.0,8.0,1.0
Toxic,AP Dhillon;Intense,pop,0,69.0,spotify_114k,happy,5,0.802,0.7369738552012071,0.8657490575108165,0.0432,0.3102409638554217,0.0,0.577,0.5597245287172591,184102.0,9.0,1.0
