track_name,artist,genre,year,popularity,source,mood,mood_code,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,key,mode
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,Sean Paul;Keyshia Cole,dancehall,0,65.0,spotify_114k,euphoric,6,0.711,0.761,-3.04,0.225,0.067,0.0,0.718,95.824,243880.0,8.0,1.0
Sandhanam Theme - Background Score,Anirudh Ravichander,hip-hop,0,65.0,spotify_114k,energetic,7,0.619,0.84,-5.427,0.0515,0.082,0.275,0.0805,105.987,106495.0,0.0,1.0
"Porkanda Singam (EDM Version) [From ""Vikram""]",Anirudh Ravichander,hip-hop,0,65.0,spotify_114k,energetic,7,0.685,0.755,-6.045,0.0476,0.102,0.194,0.422,158.932,149433.0,11.0,0.0
You've Got To Hide Your Love Away - Remastered 2009,The Beatles,british,0,65.0,spotify_114k,calm,2,0.398,0.392,-9.05,0.0282,0.207,0.0,0.378,184.267,129120.0,7.0,1.0
Alive (With Offset & 2 Chainz),Lil Jon,rap,2018,65.0,musicon_v2,happy,5,0.8137472283813746,0.7212614445574771,0.7552447552447551,0.3624401913875598,0.3656565656565657,0.0,0.5757575757575758,0.6389830508474577,235897.0,-1.0,-1.0
Both Sides Now,Joni Mitchell,canadian folk,2000,65.0,musicon_v2,melancholic,0,0.2028824833702882,0.1251271617497456,0.4999999999999999,0.0119617224880382,0.8787878787878789,0.0,0.1414141414141414,0.231638418079096,345000.0,-1.0,-1.0
In The Beginning,Onefour,rap,2019,65.0,musicon_v2,euphoric,6,0.76940133037694,0.7670396744659207,0.825174825174825,0.3779904306220096,0.1212121212121212,0.0,0.7525252525252526,0.5875706214689266,238298.0,-1.0,-1.0
Stylin',Sainte,chill,0,65.0,spotify_114k,nostalgic,3,0.641,0.436,-10.353,0.323,0.636,2.68e-05,0.535,129.08,158000.0,6.0,0.0
Rockin' in the Free World,Neil Young,album rock,1989,65.0,spotify_2000,happy,5,0.49,0.88,-5.0,0.03,0.0,0.0,0.52,132.0,0.0,-1.0,-1.0
Rolling Stoned,Upchurch,rap,2016,65.0,musicon_v2,energetic,7,0.7328159645232816,0.5055951169888098,0.5769230769230769,0.0681818181818181,0.1898989898989899,0.0,0.203030303030303,0.6039548022598871,218333.0,-1.0,-1.0
